show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,title_norm,tconst,titleType,primaryTitle,originalTitle,startYear,genres,averageRating,numVotes,primaryTitle_norm
s1,Movie,Dick Johnson Is Dead,Kirsten Johnson,,United States,"September 25, 2021",2020,PG-13,90 min,Documentaries,"As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable.",dick johnson is dead,tt11394180,movie,Dick Johnson Is Dead,Dick Johnson Is Dead,2020.0,"Biography,Documentary,Drama",7.4,7558.0,dick johnson is dead
s4,TV Show,Jailbirds New Orleans,,,,"September 24, 2021",2021,TV-MA,1 Season,"Docuseries, Reality TV","Feuds, flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series.",jailbirds new orleans,tt15320436,tvSeries,Jailbirds New Orleans,Jailbirds New Orleans,2021.0,"Documentary,Reality-TV",6.5,338.0,jailbirds new orleans
s11,TV Show,"Vendetta: Truth, Lies and The Mafia",,,,"September 24, 2021",2021,TV-MA,1 Season,"Crime TV Shows, Docuseries, International TV Shows","Sicily boasts a bold ""Anti-Mafia"" coalition. But what happens when those trying to bring down organized crime are accused of being criminals themselves?","vendetta: truth, lies and the mafia",tt14216574,tvMiniSeries,"Vendetta: Truth, Lies and the Mafia",Vendetta: Guerra nell'antimafia,2021.0,"Crime,Documentary,Thriller",6.7,373.0,"vendetta: truth, lies and the mafia"
s15,TV Show,Crime Stories: India Detectives,,,,"September 22, 2021",2021,TV-MA,1 Season,"British TV Shows, Crime TV Shows, Docuseries",Cameras following Bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations.,crime stories: india detectives,tt14178956,tvSeries,Crime Stories: India Detectives,Crime Stories: India Detectives,2021.0,"Crime,Documentary,Mystery",7.0,1240.0,crime stories: india detectives
s20,TV Show,Jaguar,,"Blanca Suárez, Iván Marcos, Óscar Casas, Adrián Lastra, Francesc Garrido, Stefan Weinert, Julia Möller, Alicia Chojnowski",,"September 22, 2021",2021,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure","In the 1960s, a Holocaust survivor joins a group of self-trained spies who seek justice against Nazis fleeing to Spain to hide after WWII.",jaguar,tt11698590,tvSeries,Jaguar,Jaguar,2021.0,"Action,Drama,History",5.8,2389.0,jaguar
s21,TV Show,Monsters Inside: The 24 Faces of Billy Milligan,Olivier Megaton,,,"September 22, 2021",2021,TV-14,1 Season,"Crime TV Shows, Docuseries, International TV Shows","In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America.",monsters inside: the 24 faces of billy milligan,tt15287836,tvMiniSeries,Monsters Inside: The 24 Faces of Billy Milligan,Monsters Inside: The 24 Faces of Billy Milligan,2021.0,"Crime,Documentary",6.3,5260.0,monsters inside: the 24 faces of billy milligan
s24,Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,"Alex Woo, Stanley Moore","Maisie Benson, Paul Killam, Kerry Gudjohnsen, AC Lim",,"September 21, 2021",2021,TV-Y,61 min,Children & Family Movies,"From arcade games to sled days and hiccup cures, Cory Carson’s curious little sister Chrissy speeds off on her own for fun and adventure all over town!",go! go! cory carson: chrissy takes the wheel,tt15296598,movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,Go! Go! Cory Carson: Chrissy Takes the Wheel,2021.0,"Animation,Family",6.6,67.0,go! go! cory carson: chrissy takes the wheel
s28,Movie,Grown Ups,Dennis Dugan,"Adam Sandler, Kevin James, Chris Rock, David Spade, Rob Schneider, Salma Hayek, Maria Bello, Maya Rudolph, Colin Quinn, Tim Meadows, Joyce Van Patten",United States,"September 20, 2021",2010,PG-13,103 min,Comedies,"Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid.",grown ups,tt3022166,tvEpisode,Grown Ups,Grown Ups,2010.0,Documentary,,,grown ups
s30,Movie,Paranoia,Robert Luketic,"Liam Hemsworth, Gary Oldman, Amber Heard, Harrison Ford, Lucas Till, Embeth Davidtz, Julian McMahon, Josh Holloway, Richard Dreyfuss, Angela Sarafyan","United States, India, France","September 19, 2021",2013,PG-13,106 min,Thrillers,"Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor.",paranoia,tt3334556,tvEpisode,Paranoia,Paranoia,2013.0,Documentary,,,paranoia
s35,TV Show,Tayo and Little Wizards,,"Dami Lee, Jason Lee, Bommie Catherine Han, Jennifer Waescher, Nancy Kim",,"September 17, 2021",2020,TV-Y7,1 Season,Kids' TV,Tayo speeds into an adventure when his friends get kidnapped by evil magicians invading their city in search of a magical gemstone.,tayo and little wizards,tt36301953,tvSeries,Tayo and Little Wizards,Tayo and Little Wizards,2020.0,Family,,,tayo and little wizards
s46,Movie,My Heroes Were Cowboys,Tyler Greco,,,"September 16, 2021",2021,PG,23 min,Documentaries,"Robin Wiltshire's painful childhood was rescued by Westerns. Now he lives on the frontier of his dreams, training the horses he loves for the big screen.",my heroes were cowboys,tt15084326,short,My Heroes Were Cowboys,My Heroes Were Cowboys,2021.0,"Documentary,Short",6.8,410.0,my heroes were cowboys
s47,Movie,Safe House,Daniel Espinosa,"Denzel Washington, Ryan Reynolds, Vera Farmiga, Brendan Gleeson, Sam Shepard, Rubén Blades, Nora Arnezeder, Robert Patrick, Liam Cunningham, Joel Kinnaman","South Africa, United States, Japan","September 16, 2021",2012,R,115 min,Action & Adventure,Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location.,safe house,tt2262648,tvEpisode,Safe House,Safe House,2012.0,"Documentary,Short",,,safe house
s47,Movie,Safe House,Daniel Espinosa,"Denzel Washington, Ryan Reynolds, Vera Farmiga, Brendan Gleeson, Sam Shepard, Rubén Blades, Nora Arnezeder, Robert Patrick, Liam Cunningham, Joel Kinnaman","South Africa, United States, Japan","September 16, 2021",2012,R,115 min,Action & Adventure,Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location.,safe house,tt3061248,tvEpisode,Safe House,Safe House,2012.0,Documentary,,,safe house
s65,Movie,Nightbooks,David Yarovesky,"Winslow Fegley, Lidya Jewett, Krysten Ritter",,"September 15, 2021",2021,TV-PG,103 min,Children & Family Movies,Scary story fan Alex must tell a spine-tingling tale every night — or stay trapped with his new friend in a wicked witch's magical apartment forever.,nightbooks,tt10521144,movie,Nightbooks,Nightbooks,2021.0,"Family,Fantasy,Horror",5.8,11329.0,nightbooks
s69,Movie,Schumacher,"Hanns-Bruno Kammertöns, Vanessa Nöcker, Michael Wech",Michael Schumacher,,"September 15, 2021",2021,TV-14,113 min,"Documentaries, International Movies, Sports Movies","Through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher.",schumacher,tt10322274,movie,Schumacher,Schumacher,2021.0,"Biography,Documentary,Sport",7.4,27140.0,schumacher
s82,Movie,Kate,Cedric Nicolas-Troyan,"Mary Elizabeth Winstead, Jun Kunimura, Woody Harrelson, Tadanobu Asano, Miyavi, Michiel Huisman, Miku Martineau",United States,"September 10, 2021",2021,R,106 min,Action & Adventure,"Slipped a fatal poison on her final job, a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge.",kate,tt15939714,tvEpisode,Kate,Kate,2021.0,"Documentary,Reality-TV",6.8,22.0,kate
s89,Movie,Blood Brothers: Malcolm X & Muhammad Ali,Marcus Clarke,"Malcolm X, Muhammad Ali",,"September 9, 2021",2021,PG-13,96 min,"Documentaries, Sports Movies","From a chance meeting to a tragic fallout, Malcolm X and Muhammad Ali's extraordinary bond cracks under the weight of distrust and shifting ideals.",blood brothers: malcolm x & muhammad ali,tt15095938,movie,Blood Brothers: Malcolm X & Muhammad Ali,Blood Brothers: Malcolm X & Muhammad Ali,2021.0,"Biography,Documentary,History",6.9,1290.0,blood brothers: malcolm x & muhammad ali
s92,Movie,The Women and the Murderer,"Mona Achache, Patricia Tourancheau",,France,"September 9, 2021",2021,TV-14,92 min,"Documentaries, International Movies",This documentary traces the capture of serial killer Guy Georges through the tireless work of two women: a police chief and a victim's mother.,the women and the murderer,tt15216504,movie,The Women and the Murderer,Les femmes et l'assassin,2021.0,"Crime,Documentary",6.5,1727.0,the women and the murderer
s96,TV Show,The Circle,,Michelle Buteau,"United States, United Kingdom","September 8, 2021",2021,TV-MA,3 Seasons,Reality TV,"Status and strategy collide in this social experiment and competition show where online players flirt, befriend and catfish their way toward $100,000.",the circle,tt19631604,tvEpisode,The Circle,The Circle,2021.0,Documentary,,,the circle
s97,Movie,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Stephen Kijak,"Ronnie Van Zandt, Gary Rossington, Allen Collins, Leon Wilkeson, Bob Burns, Billy Powell, Ed King, Artimus Pyle, Steve Gaines, Johnny Van Zant",United States,"September 7, 2021",2018,TV-MA,97 min,"Documentaries, Music & Musicals","Using interviews and archival footage, this documentary charts the story of the legendary Southern rockers with a focus on front man Ronnie Van Zant.",if i leave here tomorrow: a film about lynyrd skynyrd,tt6214722,movie,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,2018.0,"Biography,Documentary,Music",7.8,1740.0,if i leave here tomorrow: a film about lynyrd skynyrd
s99,TV Show,Octonauts: Above & Beyond,,"Antonio Aakeel, Chipo Chung, Simon Foster, Teresa Gallagher, Simon Greenall, Kate Harbour, Paul Panting, Rob Rackstraw, William Vanderpuye, Helen Walsh, Keith Wickham, Andres Williams, Jo Wyatt",United Kingdom,"September 7, 2021",2021,TV-Y,1 Season,"British TV Shows, Kids' TV","The Octonauts expand their exploration beyond the sea — and onto land! With new rides and new friends, they'll protect any habitats and animals at risk.",octonauts: above & beyond,tt15211330,tvSeries,Octonauts: Above & Beyond,Octonauts: Above & Beyond,2021.0,"Adventure,Animation,Family",7.2,230.0,octonauts: above & beyond
s103,TV Show,Countdown: Inspiration4 Mission to Space,Jason Hehir,,,"September 6, 2021",2021,TV-14,1 Season,"Docuseries, Science & Nature TV","From training to launch to landing, this all-access docuseries rides along with the Inspiration4 crew on the first all-civilian orbital space mission.",countdown: inspiration4 mission to space,tt15166116,tvMiniSeries,Countdown: Inspiration4 Mission to Space,Countdown: Inspiration4 Mission to Space,2021.0,Documentary,7.8,2158.0,countdown: inspiration4 mission to space
s107,TV Show,Bunk'd,,"Peyton List, Karan Brar, Skai Jackson, Miranda May, Kevin G. Quinn, Nathan Arenas, Nina Lu",United States,"September 5, 2021",2021,TV-G,5 Seasons,"Kids' TV, TV Comedies","The Ross siblings of Disney's hit series ""Jessie"" spend a summer full of fun and adventure at Maine's Camp Kikiwaka, where their parents first met.",bunk'd,tt15181218,tvEpisode,Bunk'd,Bunk'd,2021.0,"Family,Game-Show,Reality-TV",,,bunk'd
s108,Movie,A Champion Heart,David de Vos,"Mandy Grace, David de Vos, Donna Rusch, Devan Key, Isabella Mancuso, Ariana Guido",United States,"September 4, 2021",2018,G,90 min,"Children & Family Movies, Dramas","When a grieving teen must work off her debt to a ranch, she cares for a wounded horse that teaches her more about healing than she expected.",a champion heart,tt4738912,movie,A Champion Heart,A Horse from Heaven,2018.0,Family,6.1,478.0,a champion heart
s109,TV Show,Dive Club,,"Aubri Ibrag, Sana'a Shaik, Miah Madden, Mercy Cornwall, Georgia-May Davis, Ryan Harrison, Josh Heuston, Alexander Grant",Australia,"September 3, 2021",2021,TV-G,1 Season,"Kids' TV, TV Dramas, Teen TV Shows","On the shores of Cape Mercy, a skillful group of teen divers investigate a series of secrets and signs after one of their own mysteriously goes missing.",dive club,tt13275052,tvSeries,Dive Club,Dive Club,2021.0,"Adventure,Drama,Family",6.2,1409.0,dive club
s111,TV Show,Money Heist: From Tokyo to Berlin,"Luis Alfaro, Javier Gómez Santander",,,"September 3, 2021",2021,TV-MA,1 Season,"Docuseries, International TV Shows, Spanish-Language TV Shows","The filmmakers and actors behind ""Money Heist"" characters like Tokyo and the Professor talk about the emotional artistic process of filming the series.",money heist: from tokyo to berlin,tt15384346,tvMiniSeries,Money Heist: From Tokyo to Berlin,La casa de papel: De Tokio a Berlín,2021.0,Documentary,7.6,1379.0,money heist: from tokyo to berlin
